ID,StName,WaterBody,District,pH,DO (mg/L),BOD (mg/L),Conductivity (mS/cm),COD (mg/L),Nitrate,Total Phosphate (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Turbidity (NTU),Chloride (mg/L),Fluoride (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L)
2360,River Godavari at Basara,River Godavari - Main stream,Nirmal,8.04,6.8,2.4,763,28,16,NA,5.8,22,3.2,93,0.32,473,331,5
5105,"River Godavari Pushkar Ghat, Mancherial",River Godavari - Main stream,Mancherial,7.56,6.9,3.1,610,36,22,NA,6.2,25,3.6,83,0.45,378,265,6
4255,Ali sagar Reservoir,River Godavari - Main stream,Nizamabad,8.09,6.8,3.5,462,40,9,NA,4,22,2.6,75,0.36,314,220,7
4227,"Pochara Water Falls, Adilabad",River Godavari - Main stream,Adilabad,7.44,6.9,2.8,406,30,10,NA,6.2,20,4.3,64,0.28,252,176,8
2361,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",River Godavari - Main stream,Peddapalli,8.1,6.2,1.8,398,24,0.66,0.69,1.8,32,6,27,0.61,246,NA,10
13,River Godavari at Mancherial  ,River Godavari - Main stream,Peddapalli,7.99,6.2,1.8,406,28,0.74,0.45,1.8,21,7,45,0.55,252,NA,10
3054,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",River Godavari - Main stream,Peddapalli,9.93,5.8,4,810,81,1.8,1.85,17,170,18,110,0.87,510,NA,22
2362,D/s of River Godavari at Ramagundam near FCI intake well,River Godavari - Main stream,Peddapalli,7.87,6,1.8,442,24,1.6,0.82,1.8,33,6,56,0.65,274,NA,10
5497,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,River Godavari - Main stream,Ramagundem,7.46,6.2,1,439,8,0.8,0.35,1.8,17,6,34,0.49,276,NA,10
2363,River Godavari at Godavarikhani near bathing ghat ,River Godavari - Main stream,Peddapalli,7.64,6,1.4,448,32,1.8,0.69,1.8,38,8,44,0.55,278,NA,10
2364,River Godavari at Ramagundam upstream near dam,River Godavari - Main stream,Peddapalli,7.35,6.1,1.2,519,15,1.6,0.73,1.8,31,6,56,0.59,324,NA,10
2356,River Godavari d/s of Ramagundam at Manthani,River Godavari - Main stream,Peddapalli,7.84,6.2,1,421,8,1.5,0.84,1.8,26,5,42,0.79,258,NA,10
4662,River godavari Kaleshwaram,River Godavari - Main stream,Jayashankar Bhoopalpalli,7.99,6.3,1,430,32,1.4,0.41,1.8,32,5,38,0.59,268,NA,10
2365,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well ",River Godavari - Main stream,Mulugu,7.64,6.1,1.8,273,12,1.8,0.39,1.8,26,4,24,0.59,170,NA,10
2366,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",River Godavari - Main stream,Mulugu,7.65,6.2,1,225,8,1.4,0.43,1.8,33,6,20,0.63,144,NA,10
2367,U/s of river Godavari at Bhadrachalam bathing ghat ,River Godavari - Main stream,Bhadradri Kothagudem ,7.51,6.1,1.8,254,20,1.8,0.33,1.8,38,5,33,0.47,154,NA,10
2368,D/s of river Godavari at Bhadrachalam bathing ghat ,River Godavari - Main stream,Bhadradri Kothagudem ,7.71,6.1,1.8,227,24,1.6,0.47,1.8,32,4,28,0.55,142,NA,10
